Notification Date,School,City,School District,Health Region,Exposure Dates,Extra Info
12/12/2020,Guru Angand Dev Elementary,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,"""Nov 30 - Dec 1, 2""",Exposure 5
12/12/2020,Promontory Heights Community Elementary,Chilliwack,33,Fraser Health Authority,Nov 28,Exposure 5
12/12/2020,Crofton House,Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,Not provided,Exposure 2
12/12/2020,Cornerstone Montessori School,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,"""Nov 30 - Dec 1, 2""",Exposure 2
12/12/2020,John Oliver Secondary,Vancouver,39,Vancouver Coastal Health,Dec 8,Exposure 9
12/12/2020,Burnaby North Secondary,Burnaby,41,Fraser Health Authority,Dec 4,Exposure 10
12/12/2020,Lord Roberts Elementary,Vancouver,39,Vancouver Coastal Health,Dec 3 and 4,Exposure 2
12/12/2020,Lord Roberts Elementary,Vancouver,39,Vancouver Coastal Health,Dec 4,Attached letter outlines both exposure 2 and exposure 3.
12/12/2020,Lakes District Secondary,Burns Lake,91,Northern Health,Nov 23,Exposure 1
12/12/2020,Sullivan Heights Secondary,Surrey,36,Fraser Health Authority,"""Dec 7, 8, 9""",Exposure 15
12/12/2020,Dormick Park Elementary,Abbotsford,34,Fraser Health Authority,"""Dec 2, 3, 4""",Exposure 1
12/12/2020,Sir Sandford Fleming Elementary,Vancouver,39,Vancouver Coastal Health,"""Dec 7, 8""",An entire class has been asked to isolate
12/12/2020,Gladstone Secondary,Vancouver,39,Vancouver Coastal Health,Dec 7,Exposure 6
12/12/2020,Deer Lake SDA School,Burnaby,Independent Schools in Fraser Health,Fraser Health Authority,"""Nov 30, - Dec 1, 2, 3, 4, 7, 8, 9""",Exposure 1
12/12/2020,Abbotsford Dasmesh Punjabi,Abbotsford,Independent Schools in Fraser Health,Fraser Health Authority,"""Nov 30 - Dec 1, 2, 3 4""",Exposure 3
12/12/2020,Douglas Elementary,Surrey,36,Fraser Health Authority,Dec 7,Exposure 2
12/12/2020,Cambridge Elementary,Surrey,36,Fraser Health Authority,Dec 4,Exposure 8
12/12/2020,Suncrest Elementary,Burnaby,41,Fraser Health Authority,Dec 3,Exposure 1
12/12/2020,Total Education,Vancouver,39,Vancouver Coastal Health,"""Dec 4, 7, 8""",Exposure 1
12/12/2020,Upper Lynn Elementary,North Vancouver,44,Vancouver Coastal Health,"""Dec 7, 8, and 9""",Exposure 1
12/12/2020,Eagle Mountain Middle School,Anmore,43,Fraser Health Authority,Dec 3 and 4,Exposure 1
12/12/2020,Corpus Christi School,Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,Dec 10,Exposure 2
12/12/2020,Westerman Elementary,Surrey,36,Fraser Health Authority,Nov 30,Exposure 9
12/12/2020,Abbotsford Christian School,Abbotsford,Independent Schools in Fraser Health,Fraser Health Authority,Nov 30,This exposure was at the Elementary School
12/12/2020,Central Elementary (Ft. St John),Fort St. John,60,Northern Health,Dec 4,Exposure 1
12/11/2020,Lake City Secondary (Williams Lake Campus),Williams Lake,27,Interior Health Authority,"""Dec 2, 3, 4""",https://www.wltribune.com/news/third-covid-19-positive-case-confirmed-at-lake-city-secondary-school-williams-lake-campus/?fbclid=IwAR378K0XXl3FNFxkvWhogvOsTGvlEjNUr8q1msaiMeabZ3RrdwQrFo_8u9Y
12/11/2020,Pitt Meadows Secondary,Pitt Meadows,42,Fraser Health Authority,Dec 3,Exposure 2
12/11/2020,Prince George Secondary,Prince George,57,Northern Health,"""Dec 1, 2""",https://www.princegeorgematters.com/local-news/prince-george-secondary-school-alerted-of-covid-19-exposure-for-third-time-3178200
12/11/2020,Princess Margaret Secondary School (Surrey),Surrey,36,Fraser Health Authority,Dec 7,Exposure 14
12/11/2020,Cedar Hills Elementary,Surrey,36,Fraser Health Authority,Dec 7,Exposure 5
12/11/2020,David Oppenheimer Elementary,Vancouver,39,Northern Health,Dec 4,Exposure 3
12/11/2020,Hudson Road Elementary,West Kelowna,23,Interior Health Authority,"""Nov 24, 25, 26 - Dec 2""",Exposure 3
12/11/2020,Carson Graham Secondary,North Vancouver,44,Vancouver Coastal Health,Dec 7,Exposure 8
12/11/2020,A D Rundle Middle School,Chilliwack,33,Fraser Health Authority,Dec 7,Exposure 4
12/11/2020,Sullivan Heights Secondary,Surrey,36,Fraser Health Authority,Dec 4,Exposure 14
12/11/2020,Kitchener Elementary,Burnaby,41,Fraser Health Authority,Dec 7,Exposure 2
12/11/2020,Casorso Elementary School,Kelowna,23,Interior Health Authority,Dec 3 and 4,Exposure 6
12/11/2020,Suwilaawks Community School,Terrace,82,Northern Health,Dec 3 and 4,Exposure 2
12/11/2020,Cedar Hills Elementary,Surrey,36,Fraser Health Authority,"""Dec 2, 3, 7""",Exposure 4
12/11/2020,Kitwanga Elementary,,82,Northern Health,"""Dec 1, 2, and 3""",Exposure 1
12/11/2020,Douglas Elementary,Surrey,36,Fraser Health Authority,"""Dec 2, 3, 4""",Exposure 1
12/10/2020,Mennonite Educational Institute Middle School,Abbotsford,Independent Schools in Fraser Health,Fraser Health Authority,Dec 4,Exposure 3
12/10/2020,Colebrook Elementary,Surrey,36,Fraser Health Authority,Dec 2,Exposure 5
12/10/2020,Champlain Heights Community Elementary,Vancouver,39,Vancouver Coastal Health,"""Nov 30 - Dec 3, 4""",Exposure 2
12/10/2020,James Gilmore Elementary,Richmond,38,Vancouver Coastal Health,Dec 7,Exposure 2
12/10/2020,GW Graham Secondary,Chilliwack,33,Fraser Health Authority,"""Dec 3, 4""",Exposure 5
12/10/2020,John Oliver Secondary,Vancouver,39,Vancouver Coastal Health,Dec 4 and 7,Exposure 7
12/10/2020,Fleetwood Park Secondary,Surrey,36,Fraser Health Authority,"""Dec 3, 4""",Exposure 8
12/10/2020,Strawberry Hill Elementary,Surrey,36,Fraser Health Authority,"""Dec 3, 4""",Exposure 5
12/10/2020,Ten Broeck Elementary,Abbotsford,34,Fraser Health Authority,"""Nov 30 - Dec 1, 2""",Exposure 3
12/10/2020,Corpus Christi School,Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,"""Dec 2, 3, and 4""",Exposure 1
12/10/2020,Regent Christian Academy,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,"""Nov 30, Dec 1, 2, 3, 4, 7, 8, 9, and 10""",Fraser Health declared an outbreak.
12/10/2020,Skeena Middle,Terrace,82,Northern Health,Dec 4 and 7,Exposure 1
12/10/2020,Hudson Road Elementary,West Kelowna,23,Interior Health Authority,Nov 30,Exposure 2
12/10/2020,Sir James Douglas Annex,Vancouver,39,Vancouver Coastal Health,Dec 7,Exposure 1
12/10/2020,A D Rundle Middle School,Chilliwack,33,Fraser Health Authority,Dec 4,Exposure 3
12/10/2020,Promontory Heights Community Elementary,Chilliwack,33,Fraser Health Authority,Dec 7,Exposure 4
12/10/2020,Terry Fox Elementary,Abbotsford,34,Fraser Health Authority,Dec 4,Exposure 1
12/10/2020,Caledonia Secondary,Terrace,82,Northern Health,"""Nov 30, Dec 1 and 2""",Exposure 2
12/10/2020,Invergarry Adult Education Centre,Surrey,36,Fraser Health Authority,"""Dec 2, 3""",Exposure 1
12/10/2020,Kelowna Secondary School,Kelowna,23,Interior Health Authority,Nov 16 and 30,Exposure 16
12/10/2020,Veritas Catholic,Terrace,Independent Schools in Northern Health,Northern Health,Nov 30,Exposure 1
12/10/2020,Bert Bowes Middle School,,60,Northern Health,"""Nov 30, Dec 1, 2, and 3""",Exposure 4
12/10/2020,Abbotsford Senior Secondary School,Abbotsford,34,Fraser Health Authority,Dec 3 and 4,Exposure 6
12/10/2020,GW Graham Secondary,Chilliwack,33,Fraser Health Authority,"""Nov 30, Dec 2""",Exposure 6
12/10/2020,Princess Margaret Secondary School (Surrey),Surrey,36,Fraser Health Authority,Nov 30,Exposure 13
12/10/2020,Nelson Elementary,Burnaby,41,Fraser Health Authority,Dec 2 and 3,Exposure 1
12/10/2020,Delview Secondary,Delta,37,Fraser Health Authority,Dec 3,Exposure 7
12/10/2020,Ecole Dr Charles Best Secondary,Coquitlam,43,Fraser Health Authority,"""Dec 3, 4, and 7""",Exposure 5
12/10/2020,Southern Okanagan Secondary,Oliver,53,Interior Health Authority,Nov 30 and Dec 1,https://oliverdailynews.com/positive-test-for-covid-at-soss/?fbclid=IwAR2BzlkiYSdWWdfFXSMGK-B6qrDa10eeeZwv-AxrJgHXLpNyCSRLXocEAe4
12/10/2020,John Oliver Secondary,Vancouver,39,Vancouver Coastal Health,Dec 7,Email for exposure #7 contained information about a second exposure. This is the second exposure referred to in the attached letter.
12/10/2020,Peden Hill Elementary,Prince George,57,Northern Health,Nov 30,https://www.princegeorgematters.com/local-news/peden-hill-elementary-school-in-prince-george-flagged-fourth-time-for-covid-19-exposure-event-3174649?fbclid=IwAR02jg3Nx5YjexdoB7BX2tjFbSXTsn3N5CpIARJ1dAiLiGgPEpcAWfgta5o
12/10/2020,Rutland Senior Secondary,Kelowna,23,Interior Health Authority,"""Dec 1, 2, 3, 4""",Exposure 8
12/10/2020,Harry Sayers Elementary,Abbotsford,34,Fraser Health Authority,Dec 4,Exposure 2
12/10/2020,Holy Cross Regional High School (Surrey),Surrey,Independent Schools in Fraser Health,Fraser Health Authority,Dec 1 and 3,Exposure 2
12/10/2020,Steveston-London Secondary School,Richmond,38,Vancouver Coastal Health,Not provided,Exposure 5
12/09/2020,Panorama Park Elementary,Surrey,36,Fraser Health Authority,"""Dec 1, 2""",Exposure 3
12/09/2020,Secondaire Jules-Verne,Vancouver,93,Vancouver Coastal Health,Dec 3 and 4,Exposure 2
12/09/2020,William Bridge Elementary,Richmond,38,Vancouver Coastal Health,Nov 30,Exposure 2
12/09/2020,Adams Road Elementary,Surrey,36,Fraser Health Authority,Dec 1,Whole class has been asked to isolate.
12/09/2020,Hatzic Middle School,Mission,75,Fraser Health Authority,"""Dec 3, 4""",Exposure 5
12/09/2020,Mt Lehman Elementary,Abbotsford,34,Fraser Health Authority,Dec 4,Exposure 1
12/09/2020,University Highlands Elementary,Burnaby,41,Fraser Health Authority,"""Nov 26, 27""",Exposure 1
12/09/2020,Beaver Creek Elementary,Surrey,36,Fraser Health Authority,Dec 4,Exposure 5
12/09/2020,Mundy Road Elementary,Coquitlam,43,Fraser Health Authority,Exposure dates not provided,Exposure 4
12/09/2020,Enver Creek Secondary,Surrey,36,Fraser Health Authority,Nov 27,Exposure 13
12/09/2020,Hugh Boyd Secondary,Richmond,38,Vancouver Coastal Health,Nov 30,Exposure 2
12/09/2020,Vancouver Waldorf School,North Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,Nov 30 and Dec 1,Exposure 1
12/09/2020,Crofton House,Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,Dec 3 and 4,Exposure 1
12/09/2020,Byrne Creek Community Secondary,Burnaby,41,Fraser Health Authority,"""Nov 30, Dec 1 and 4""",Exposure 6
12/09/2020,Surrey Centre Elementary,Surrey,36,Fraser Health Authority,"""Nov 24, 25, 26, 27, 30 - Dec 1""",Exposure 2
12/09/2020,Mount Baker Secondary,Cranbrook,5,Interior Health Authority,Nov 30 - Dec 1,Exposure 1
12/09/2020,Guildford Park Secondary,Surrey,36,Fraser Health Authority,"""Nov 26, 27, 30 - Dec 1, 2, 3""",Exposure 5
12/09/2020,Glenrosa Elementary,West Kelowna,23,Interior Health Authority,"""Dec 1, 2, 3""",Exposure 1
12/09/2020,Colebrook Elementary,Surrey,36,Fraser Health Authority,"""Dec 3, 4""",Exposure 4
12/09/2020,Frank Hurt Secondary,Surrey,36,Fraser Health Authority,Exposure dates not provided,Exposure 21
12/09/2020,Frank Hurt Secondary,Surrey,36,Fraser Health Authority,"""Mentioned in a tweet from Surrey School district on Dec 10, 202""",Exposure 22
12/09/2020,Serpentine Heights Elementary,Surrey,36,Fraser Health Authority,"""Nov 30 - Dec 1, 2""",Exposure 2
12/09/2020,Bert Ambrose,Fort St. John,60,Northern Health,Nov 30,Exposure 1
12/09/2020,Thomas Kidd Elementary,Richmond,38,Vancouver Coastal Health,Dec 3,Exposure 2
12/09/2020,Hudson Road Elementary,West Kelowna,23,Interior Health Authority,"""Nov 24, 25, 26, 30 - Dec""",Exposure 1
12/09/2020,Queensborough Middle School,New Westminster,40,Fraser Health Authority,"""Nov 25, Dec 2 and 3""",Exposure 2
12/09/2020,St Joseph Elementary School (Kelowna),Kelowna,Independent Schools in Interior Health,Interior Health Authority,"""Dec 2, 3, 4""",Exposure 5
12/09/2020,George Pringle Elementary,West Kelowna,23,Interior Health Authority,"""Dec 1, 2, 3""",Exposure 2
12/09/2020,Margaret Ma Murray Community School,,60,Northern Health,"""Nov 30 - Dec 1, 2, 3 4""",Exposure 2
12/09/2020,Guildford Park Secondary,Surrey,36,Fraser Health Authority,"""Nov 26, 27, 30, and Dec 1""",Exposure 4
12/09/2020,James Gilmore Elementary,Richmond,38,Vancouver Coastal Health,Dec 4,Exposure 1
12/09/2020,Caledonia Secondary,Terrace,82,Northern Health,"""Dec 1, 2""",Exposure 1
12/09/2020,T E Scott Elementary,Surrey,36,Fraser Health Authority,"""Nov 30, Dec 1, 2, and 3""",Exposure 7
12/09/2020,Gleneagle Secondary,Coquitlam,43,Fraser Health Authority,"""Dec 1, 2, and 3""",Exposure 2
12/09/2020,Queen Elizabeth Secondary,Surrey,36,Fraser Health Authority,"""Dec 3, 4""",Exposure 15
12/09/2020,Rutland Senior Secondary,Kelowna,23,Interior Health Authority,"""Dec 1, 2, and 3""",Exposure 7
12/09/2020,Panorama Ridge Secondary,Surrey,36,Fraser Health Authority,"""Dec 3, 4""",Exposure 19
12/09/2020,Eric Hamber Secondary,Vancouver,39,Vancouver Coastal Health,"""Dec 1, 2""",Exposure 3
12/09/2020,Anne Roberts Young Elementary,Fort St. John,60,Northern Health,Nov 30,Exposure 1
12/09/2020,Enver Creek Secondary,Surrey,36,Fraser Health Authority,"""Dec 1, 2""",Exposure 14
12/09/2020,Hellings Elementary,Delta,37,Fraser Health Authority,Dec 4,Exposure 7
12/09/2020,Westerman Elementary,Surrey,36,Fraser Health Authority,Dec 1 and 4,Exposure 8
12/08/2020,L A Matheson Secondary,Surrey,36,Fraser Health Authority,"""Dec 3, 4""",Exposure 12
12/08/2020,Tamanawis Secondary,Surrey,36,Fraser Health Authority,"""Nov 26, 27, 30""",Exposure 15
12/08/2020,Ecole Nestor Elementary,Coquitlam,43,Fraser Health Authority,Dec 1,Exposure 2
12/08/2020,Maple Ridge Secondary,Maple Ridge,42,Fraser Health Authority,"""Nov 27, 30, Dec 1, and 2""",Exposure 4
12/08/2020,Bert Bowes Middle School,,60,Northern Health,Nov 30,Exposure 3
12/08/2020,Peter Ewart Middle School,Langley,35,Fraser Health Authority,"""Nov 30, Dec 1 and 2""",Exposure 2
12/08/2020,Uplands Elementary,Terrace,82,Northern Health,Nov 30 and Dec 1,Exposure 1
12/08/2020,Langley Secondary,Langley,35,Fraser Health Authority,Dec 3,Exposure 3
12/08/2020,Fort St James Secondary,,91,Northern Health,Nov 30 - Dec 1,Exposure 3
12/08/2020,New Westminster Secondary,New Westminster,40,Fraser Health Authority,Nov 27,Exposure 12
12/08/2020,Enver Creek Secondary,Surrey,36,Fraser Health Authority,Nov 26,Exposure 12
12/08/2020,Hugh McRoberts Secondary,Richmond,38,Vancouver Coastal Health,Dec 4,Exposure 4
12/08/2020,Gladstone Secondary,Vancouver,39,Vancouver Coastal Health,"""Nov 30 - Dec 1, 2""",Exposure 5
12/08/2020,A D Rundle Middle School,Chilliwack,33,Fraser Health Authority,Dec 3 and 4,Exposure 2
12/08/2020,Hugh McRoberts Secondary,Richmond,38,Vancouver Coastal Health,"""Dec 1, 2""",Exposure 3
12/08/2020,Sullivan Heights Secondary,Surrey,36,Fraser Health Authority,"""Nov 30 - Dec 1, 2, 3""",Exposure 13
12/08/2020,Westerman Elementary,Surrey,36,Fraser Health Authority,Dec 1,Exposure 6
12/08/2020,Nicomekl Elementary,Langley,35,Fraser Health Authority,Dec 3,Exposure 1
12/08/2020,Kwantlen Park Secondary,Surrey,36,Fraser Health Authority,"""Dec 2, 3, and 4""",Exposure 6
12/08/2020,Cheam Elementary,Chilliwack,33,Fraser Health Authority,"""Dec 3, 4""",Exposure 1
12/08/2020,Rocky Mountain Elementary,Elkford,5,Interior Health Authority,"""Nov 30 - Dec 1, 2""",https://www.thefreepress.ca/news/potential-covid-19-exposure-confirmed-at-elkfords-rocky-mountain-elementary-school/
12/08/2020,Frank Hurt Secondary,Surrey,36,Fraser Health Authority,"""Nov 30 - Dec 1, 2""",Email notification outlining that there were 4 individual cases of Covid relating to the Exposure 17 notification. Email attached shows this.
12/08/2020,Magee Secondary,Vancouver,39,Vancouver Coastal Health,Exposure dates not provided,Exposure 3
12/08/2020,Queen Elizabeth Secondary,Surrey,36,Fraser Health Authority,"""Dec 3, 4""",Exposure 14
12/08/2020,New Westminster Secondary,New Westminster,40,Fraser Health Authority,Dec 1,Exposure 13
12/08/2020,Tamanawis Secondary,Surrey,36,Fraser Health Authority,"""Nov 23, 24, 25, 26, and 27""",Exposure 16
12/08/2020,Frank Hurt Secondary,Surrey,36,Fraser Health Authority,"""Nov 30 - Dec 1,""",Email notification outlining that there were 4 individual case of Covid relating to the Exposure 17 notification. Email attached shows this.
12/08/2020,Tamanawis Secondary,Surrey,36,Fraser Health Authority,Nov 30,Exposure 17
12/08/2020,Cougar Creek Elementary,Surrey,36,Fraser Health Authority,Nov 30,Exposure 3
12/08/2020,Mary Jane Shannon Elementary,Surrey,36,Fraser Health Authority,Nov 30,Exposure 1
12/08/2020,Rutland Senior Secondary,Kelowna,23,Interior Health Authority,Nov 27,Exposure 6
12/08/2020,John Henderson Elementary,Vancouver,39,Vancouver Coastal Health,Dec 4,Exposure 3
12/08/2020,Carson Graham Secondary,North Vancouver,44,Vancouver Coastal Health,"""Dec 2, 3, 4""",Exposure 7
12/08/2020,Westerman Elementary,Surrey,36,Fraser Health Authority,Dec 4,Exposure 7
12/08/2020,Frank Hurt Secondary,Surrey,36,Fraser Health Authority,"""Nov 30 - Dec 1, 2""",Email notification outlining that there were 4 individual cases of Covid relating to the Exposure 17 notification. Email attached shows this.
12/08/2020,Regent Christian Academy,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,"""Dec 2, 3, and 4""",Exposure 2
12/08/2020,Princess Margaret Secondary School (Surrey),Surrey,36,Fraser Health Authority,"""Nov 26, 27, 30 - Dec 1, 2, 3""",Exposure 12
12/08/2020,Westerman Elementary,Surrey,36,Fraser Health Authority,"""Dec 2, 3""",Exposure 5
12/08/2020,Brookside Elementary,Surrey,36,Fraser Health Authority,Nov 30 - Dec 1,Exposure 4
12/08/2020,James Ardiel Elementary,Surrey,36,Fraser Health Authority,"""Dec 1, 2""",Exposure 3
12/08/2020,North Surrey Secondary,Surrey,36,Fraser Health Authority,Dec 1 and 2,Exposure 6
12/08/2020,Hellings Elementary,Delta,37,Fraser Health Authority,"""Dec 2, 3, 4""",Exposure 6
12/08/2020,Evans Elementary,Chilliwack,33,Fraser Health Authority,"""Nov 30, and Dec 1""",Exposure 1
12/08/2020,King George Secondary,Vancouver,39,Vancouver Coastal Health,Dec 4,Exposure 2
12/08/2020,Kitsilano Secondary,Vancouver,39,Vancouver Coastal Health,"""Dec 3, 4""",Exposure 4
12/08/2020,Guildford Park Secondary,Surrey,36,Fraser Health Authority,"""Dec 2, 3, 4""",Exposure 3
12/08/2020,John Oliver Secondary,Vancouver,39,Vancouver Coastal Health,"""Dec 1, 2, 3""",Exposure 6
12/08/2020,North Delta Secondary,Delta,37,Fraser Health Authority,Dec 1,Exposure 9
12/08/2020,Tamanawis Secondary,Surrey,36,Fraser Health Authority,Dec 2,Exposure 18
12/08/2020,Cambridge Elementary,Surrey,36,Fraser Health Authority,Dec 3,Exposure 7
12/08/2020,Margaret Ma Murray Community School,,60,Northern Health,"""November 23, 24, 25, and 26""",Exposure 7
12/07/2020,Lake City Secondary (Williams Lake Campus),Williams Lake,27,Interior Health Authority,Dec 1,Exposure 2
12/07/2020,Chief Dan George Middle,Abbotsford,34,Fraser Health Authority,Nov 30 and Dec 2,2 pods are isolating
12/07/2020,Kelly Road/Shas ti Secondary,Prince George,57,Northern Health,"""Nov 30, Dec 1 and 2""",Exposure 1
12/07/2020,Cariboo Hill Secondary,Burnaby,41,Fraser Health Authority,Dec 2 and 3,Exposure 3
12/07/2020,Promontory Heights Community Elementary,Chilliwack,33,Fraser Health Authority,"""Dec 1, 2, 3""",Exposure 3
12/07/2020,Kitsilano Secondary,Vancouver,39,Vancouver Coastal Health,"""Dec 1, 2, 3""",Exposure 3
12/07/2020,Heather Park Elementary,Prince George,57,Northern Health,Exposure dates not provided,Exposure 1
12/07/2020,Elgin Park Secondary,Surrey,36,Fraser Health Authority,Dec 1,Exposure 2
12/07/2020,Yale Secondary,Abbotsford,34,Fraser Health Authority,Nov. 30 - Dec 1,Exposure 1
12/07/2020,Mission Senior Secondary,Mission,75,Fraser Health Authority,Nov 30,Exposure 2
12/07/2020,Enver Creek Secondary,Surrey,36,Fraser Health Authority,Nov 30 and Dec 1,Exposure 11
12/07/2020,Thomas Kidd Elementary,Richmond,38,Vancouver Coastal Health,"""Nov 30, Dec 1""",Exposure 1
12/07/2020,Fleetwood Park Secondary,Surrey,36,Fraser Health Authority,"""Nov 30, Dec 1 and 2""",Exposure 7
12/07/2020,Hatzic Middle School,Mission,75,Fraser Health Authority,"""Dec 1, 2, and 3""",Exposure 4
12/07/2020,Surrey Traditional,Surrey,36,Fraser Health Authority,"""Nov 25, 26, 27,30 -Dec 1, 2, and 3""","""Extra dates added, we have the letter on file."""
12/07/2020,Blue Mountain Elementary,Maple Ridge,42,Fraser Health Authority,"""Dec 2, 3""",Exposure 1
12/07/2020,Moscrop Secondary,Burnaby,41,Fraser Health Authority,Dec 1,Exposure 4
12/07/2020,King Traditional Elementary,Abbotsford,34,Fraser Health Authority,"""Nov 30, Dec 1, 3, and 4""",Exposure 3
12/07/2020,William Konkin Elementary,Burns Lake,91,Northern Health,"""Nov 23, 24, 25, 26, 27""",https://www.princegeorgematters.com/local-news/northern-health-flags-five-schools-for-covid-19-exposure-including-two-in-prince-george-3163595
12/07/2020,Sardis Elementary,Chilliwack,33,Fraser Health Authority,"""Nov 30 - Dec 1, 2""",Exposure 2
12/07/2020,South Poplar Traditional Elementary,Abbotsford,34,Fraser Health Authority,Dec 3,Exposure 1
12/07/2020,Aldergrove Community Secondary,Aldergrove,35,Fraser Health Authority,Nov 30 and Dec 1,Exposure 2
12/07/2020,Frank Hurt Secondary,Surrey,36,Fraser Health Authority,"""Nov 30, Dec 1 and 2""",Exposure 17
12/07/2020,St Jude's,Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,Nov 30,Exposure 1
12/07/2020,Watson Road Elementary,Kelowna,23,Interior Health Authority,Nov 27,Exposure 2
12/07/2020,Vedder Middle School,Chilliwack,33,Fraser Health Authority,"""Nov 30, Dec 1 and 2""",Exposure 4
12/07/2020,Abbotsford Middle School,Abbotsford,34,Fraser Health Authority,"""Nov 30, Dec 1 and 2""",Exposure 1
12/07/2020,Blue Jay Elementary,Abbotsford,34,Fraser Health Authority,"""Dec 2, 3""",Exposure 3
12/07/2020,Ecole Glenbrook Middle School,New Westminster,40,Fraser Health Authority,"""Dec 1, 2, and 3""",Exposure 3
12/07/2020,St Francis Xavier,Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,Dec 2 or 3,Exposure 1
12/07/2020,Nanaimo District Secondary,Nanaimo,68,Vancouver Island Health Authority,"""Dec 2, 3, 4""",Exposure 1
12/07/2020,Salt Spring Centre School,Salt Spring Island,Independent Schools in Island Health,Vancouver Island Health Authority,Dec 3,https://www.gulfislandsdriftwood.com/covid-19/centre-school-closed-due-to-covid-19-case/?fbclid=IwAR2r2NKkVaz2W9kXbOtS9Wy_L-g07R_4pqA0UVJj_369yL9-LCsONy5eqNU
12/07/2020,L A Matheson Secondary,Surrey,36,Fraser Health Authority,"""Nov 30, Dec 1 and 2""",Exposure 11
12/07/2020,New Westminster Secondary,New Westminster,40,Fraser Health Authority,Nov 30 and Dec 1,Exposure 11
12/07/2020,Margaret Ma Murray Community School,,60,Northern Health,Nov 27,https://www.princegeorgematters.com/local-news/northern-health-flags-five-schools-for-covid-19-exposure-including-two-in-prince-george-3163595
12/07/2020,David Hoy Elementary,,91,Northern Health,Nov 30 and Dec 1,Exposure 3
12/07/2020,Abbotsford Senior Secondary School,Abbotsford,34,Fraser Health Authority,Nov 27,Exposure 5
12/07/2020,Pacific Academy Middle School,Surrey,Independent Schools in Fraser Health,Fraser Health Authority,Nov 30,Exposure 4
12/07/2020,GW Graham Secondary,Chilliwack,33,Fraser Health Authority,"""Nov 30, Dec 1 and 2""",Exposure 4
12/07/2020,Annieville Elementary,Delta,37,Fraser Health Authority,Dec 1 and 2,Exposure 3
12/07/2020,Chilliwack Secondary,Chilliwack,33,Fraser Health Authority,Nov 30,Exposure 10
12/07/2020,Panorama Ridge Secondary,Surrey,36,Fraser Health Authority,Nov 30,Exposure 18
12/07/2020,Seaquam Secondary,Delta,37,Fraser Health Authority,"""Nov 20, 21, 22, 23, 24, 25, 26, 27""",Exposure 5
12/07/2020,Holly Elementary (Surrey),Surrey,36,Fraser Health Authority,Nov 30 and Dec 1,Exposure 5
12/07/2020,Notre Dame Regional Secondary (Vancouver),Vancouver,Independent Schools in Coastal Health,Vancouver Coastal Health,Nov 30 and Dec 1,Exposure 3
12/06/2020,Gladstone Secondary,Vancouver,39,Vancouver Coastal Health,"""Nov 30, Dec 1 and 2""",Letter attached from Dec 4 indicates that two exposure events occurred. We have documented it as #3 exposure and #4 exposure.
12/06/2020,Sir Charles Tupper Secondary,Vancouver,39,Vancouver Coastal Health,"""Dec 1, 2, 3""",Exposure 10
12/06/2020,L A Matheson Secondary,Surrey,36,Fraser Health Authority,Nov 23,Exposure 10
12/06/2020,Forest Park Elementary,Nanaimo,68,Vancouver Island Health Authority,"""Nov 30, Dec 1, 2, 3, and 4""",Exposure 1
12/06/2020,Carson Graham Secondary,North Vancouver,44,Vancouver Coastal Health,"""Dec 2, 3, 4""",Exposure 6
12/06/2020,John Oliver Secondary,Vancouver,39,Vancouver Coastal Health,"""Dec 1, 2, 3""",Two classes and staff are required to isolate
12/06/2020,Parkland Elementary,Coquitlam,43,Fraser Health Authority,Nov 30,Exposure 1
12/06/2020,Davidson Road Elementary,Lake Country,23,Interior Health Authority,"""Dec 1, 2, and 3""",Exposure 1
12/06/2020,Byrne Creek Community Secondary,Burnaby,41,Fraser Health Authority,"""Nov 30, Dec 1, 2, and 3""",Exposure 5
12/06/2020,Walton Elementary,Coquitlam,43,Fraser Health Authority,"""Dec 1, 2, and 3""",Exposure 1
12/06/2020,Latimer Road Elementary,Surrey,36,Fraser Health Authority,Nov 24,Exposure 4
12/06/2020,Kitsilano Secondary,Vancouver,39,Vancouver Coastal Health,"""Nov 23, 24, 25""",Exposure 2
12/06/2020,Maple Ridge Secondary,Maple Ridge,42,Fraser Health Authority,"""Dec 1, 2""",Exposure 3
12/06/2020,Chilliwack Middle School,Chilliwack,33,Fraser Health Authority,Nov 30 - Dec 1,Exposure 2
12/06/2020,Sardis Secondary,Chilliwack,33,Fraser Health Authority,"""Nov 30 - Dec 1, 2""",Exposure 5
12/06/2020,Clarence Fulton Secondary,Vernon,22,Interior Health Authority,"""Nov 30, Dec 1, 2""",Exposure 2
12/06/2020,New Westminster Secondary,New Westminster,40,Fraser Health Authority,Dec 1,Exposure 10
12/06/2020,South Rutland Elementary,Kelowna,23,Interior Health Authority,Nov 27,https://www.castanet.net/news/Kelowna/318505/2-school-cases-of-COVID
